Energy, keV;Wavelength, A;Delta;Beta;Total linear attenuation coeff mu, 1/um;Linear attenuation coefficient (photoelectric part), 1/um;Linear attenuation coefficient (Compton scattering part), 1/um;Linear attenuation coefficient (Rayleigh scattering part), 1/um;"Beta"" = Lambda*Mu/(4*pi)";pi-shift length, micron;Indexes ratio Delta/(2*pi*Beta);Indexes ratio Beta/Delta;Critical angle for total external reflection (2*Delta)^(1/2), rad;Brewster angle, rad;Effective aperture of parabolic profile with focus distance F=1 m, micron;Zone plate 1-st order efficiency
2;6.2;0.0000861;0.000000679;0.01;0.01;0;0;0;3.6;20.17;0.01;0.01;0.79;279.4;0.4
2.01;6.17;0.0000852;0.000000666;0.01;0.01;0;0;0;3.62;20.38;0.01;0.01;0.79;280.12;0.4
2.02;6.14;0.0000844;0.000000652;0.01;0.01;0;0;0;3.64;20.59;0.01;0.01;0.79;280.87;0.4
2.03;6.11;0.0000835;0.000000639;0.01;0.01;0;0;0;3.66;20.8;0.01;0.01;0.79;281.61;0.4
2.04;6.08;0.0000827;0.000000626;0.01;0.01;0;0;0;3.67;21.01;0.01;0.01;0.79;282.34;0.4
2.05;6.05;0.0000819;0.000000614;0.01;0.01;0;0;0;3.69;21.23;0.01;0.01;0.79;283.09;0.4
2.06;6.02;0.0000811;0.000000602;0.01;0.01;0;0;0;3.71;21.45;0.01;0.01;0.79;283.84;0.4
2.07;5.99;0.0000803;0.00000059;0.01;0.01;0;0;0;3.73;21.67;0.01;0.01;0.79;284.55;0.4
2.08;5.96;0.0000795;0.000000578;0.01;0.01;0;0;0;3.75;21.88;0.01;0.01;0.79;285.29;0.4
2.09;5.93;0.0000788;0.000000567;0.01;0.01;0;0;0;3.77;22.11;0.01;0.01;0.79;286.04;0.4
2.1;5.9;0.000078;0.000000556;0.01;0.01;0;0;0;3.78;22.33;0.01;0.01;0.79;286.76;0.4
2.11;5.88;0.0000773;0.000000545;0.01;0.01;0;0;0;3.8;22.55;0.01;0.01;0.79;287.48;0.4
2.12;5.85;0.0000765;0.000000535;0.01;0.01;0;0;0;3.82;22.77;0.01;0.01;0.79;288.22;0.4
2.13;5.82;0.0000758;0.000000524;0.01;0.01;0;0;0;3.84;23;0.01;0.01;0.79;288.95;0.4
2.14;5.79;0.0000751;0.000000515;0.01;0.01;0;0;0;3.86;23.22;0.01;0.01;0.79;289.65;0.4
2.15;5.77;0.0000744;0.000000505;0.01;0.01;0;0;0;3.88;23.45;0.01;0.01;0.79;290.38;0.4
2.16;5.74;0.0000737;0.000000495;0.01;0.01;0;0;0;3.89;23.68;0.01;0.01;0.79;291.13;0.4
2.17;5.71;0.000073;0.000000486;0.01;0.01;0;0;0;3.91;23.91;0.01;0.01;0.79;291.82;0.4
2.18;5.69;0.0000723;0.000000477;0.01;0.01;0;0;0;3.93;24.14;0.01;0.01;0.79;292.53;0.4
2.19;5.66;0.0000717;0.000000468;0.01;0.01;0;0;0;3.95;24.37;0.01;0.01;0.79;293.27;0.4
